% t[ms]   command[pwmU]  encoderPos[ticks]    angle[degrees]    velocity[deg/s]    acceleration[deg/s^2]  bufferOverflow 	 iRead iToRead i 
182.00  	 255.00	-274 -8220.00 -30.00 60.00 	 % dT =  1003.00
183.00  	 255.00	-276 -8280.00 -60.00 -30.00 	 % dT =  997.00
184.00  	 255.00	-277 -8310.00 -30.00 30.00 	 % dT =  1000.00
185.00  	 255.00	-279 -8370.00 -60.00 -30.00 	 % dT =  1000.00
186.00  	 255.00	-281 -8430.00 -60.00 0.00 	 % dT =  1001.00
187.00  	 255.00	-283 -8490.00 -60.00 0.00 	 % dT =  999.00
188.00  	 255.00	-285 -8550.00 -60.00 0.00 	 % dT =  1000.00
189.00  	 255.00	-286 -8580.00 -30.00 30.00 	 % dT =  1000.00
190.00  	 255.00	-288 -8640.00 -60.00 -30.00 	 % dT =  1000.00
191.00  	 255.00	-290 -8700.00 -60.00 0.00 	 % dT =  1002.00
192.00  	 255.00	-292 -8760.00 -60.00 0.00 	 % dT =  998.00
193.00  	 255.00	-294 -8820.00 -60.00 0.00 	 % dT =  1000.00
194.00  	 255.00	-295 -8850.00 -30.00 30.00 	 % dT =  1000.00
195.00  	 255.00	-297 -8910.00 -60.00 -30.00 	 % dT =  1000.00
196.00  	 255.00	-299 -8970.00 -60.00 0.00 	 % dT =  1000.00
197.00  	 255.00	-301 -9030.00 -60.00 0.00 	 % dT =  1000.00
198.00  	 255.00	-302 -9060.00 -30.00 30.00 	 % dT =  1000.00
199.00  	 255.00	-304 -9120.00 -60.00 -30.00 	 % dT =  1000.00
200.00  	 255.00	-306 -9180.00 -60.00 0.00 	 % dT =  1003.00
201.00  	 255.00	-308 -9240.00 -60.00 0.00 	 % dT =  997.00
202.00  	 255.00	-309 -9270.00 -30.00 30.00 	 % dT =  1000.00
203.00  	 255.00	-311 -9330.00 -60.00 -30.00 	 % dT =  1000.00
204.00  	 255.00	-313 -9390.00 -60.00 0.00 	 % dT =  1003.00
205.00  	 255.00	-315 -9450.00 -60.00 0.00 	 % dT =  997.00
206.00  	 255.00	-317 -9510.00 -60.00 0.00 	 % dT =  1000.00
207.00  	 255.00	-318 -9540.00 -30.00 30.00 	 % dT =  1000.00
208.00  	 255.00	-321 -9630.00 -90.00 -60.00 	 % dT =  1000.00
209.00  	 255.00	-322 -9660.00 -30.00 60.00 	 % dT =  1002.00
210.00  	 255.00	-324 -9720.00 -60.00 -30.00 	 % dT =  998.00
211.00  	 255.00	-325 -9750.00 -30.00 30.00 	 % dT =  1000.00
